Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12901,Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0,0.05,0,0,0.05
13269,Kamen Rider: Battride War Sega Genesisintendo ESis,Play Station 5,2016,Action,Namco Bandai Games,0,0,0.05,0,0.05
13622,Kamen Rider: Battride War Sega Genesisintendo ESis,Play Station 3,2016,Action,Namco Bandai Games,0,0,0.04,0,0.04
13765,One Piece: Burning Blood,Xbox One,2016,Fighting,Namco Bandai Games,0.03,0.01,0,0,0.04
13847,Haikyu!! Cross Team Match!,Nintendo 3DS,2016,Adventure,Namco Bandai Games,0,0,0.04,0,0.04
14316,Gakusen Toshi Asterisk Festa: Houka Kenran,Play Station 5,2016,Fighting,Namco Bandai Games,0,0,0.03,0,0.03
14430,Summon Night 6: Lost Borders,Play Station 4,2016,Action,Namco Bandai Games,0,0,0.03,0,0.03
14617,My Hero Academia: Battle for All,Nintendo 3DS,2016,Action,Namco Bandai Games,0,0,0.03,0,0.03
14958,Naruto Shippuden: Ultimate Ninja Storm Collection,Play Station 3,2016,Action,Namco Bandai Games,0,0.02,0,0,0.02
15019,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,Play Station 3,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15206,Valentino Rossi: The Game,Xbox One,2016,Racing,Namco Bandai Games,0,0.02,0,0,0.02
15569,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,Play Station 3,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15985,Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,Nintendo 3DS,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
16001,One Piece: Daikaizoku Coliseum,Nintendo 3DS,2016,Fighting,Namco Bandai Games,0,0,0.01,0,0.01
16022,God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,Play Station 4,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
16051,God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,Play Station 4,2016,Misc,Namco Bandai Games,0,0,0.01,0,0.01
16247,Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games,0,0.01,0,0,0.01
16553,God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,Play Station 4,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
15791,"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",Play Station 5,2016,Adventure,N/A,0,0,0.02,0,0.02
16370,Dance with Devils,Play Station 5,2016,Action,N/A,0,0,0.01,0,0.01
13531,R.B.I. Baseball 2016,Xbox One,2016,Sports,MLB.com,0.04,0,0,0,0.04
11522,MXGP 2,Play Station 4,2016,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.08
13176,MXGP 2,Xbox One,2016,Racing,Milestone S.r.l.,0.02,0.02,0,0,0.05
16326,MXGP 2,PC,2016,Racing,Milestone S.r.l.,0,0.01,0,0,0.01
13510,S̩bastien Loeb Rally Evo,Play Station 4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04
16533,S̩bastien Loeb Rally Evo,Xbox One,2016,Racing,Milestone S.r.l,0,0.01,0,0,0.01
3929,Quantum Break,Xbox One,2016,Action,Microsoft Game Studios,0.27,0.19,0.01,0.04,0.51
4515,Minecraft,Nintendo WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
5017,Forza Horizon 3,Xbox One,2016,Racing,Microsoft Game Studios,0.15,0.2,0,0.03,0.38
10816,ReCore,Xbox One,2016,Action,Microsoft Game Studios,0.06,0.03,0,0.01,0.1
15473,Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0,0,0.02
15484,Agatha Christie's The ABC Murders,Play Station 4,2016,Adventure,Microids,0.01,0.01,0,0,0.02
7814,Story of Seasons: Good Friends of the Three Villages,Nintendo 3DS,2016,Simulation,Marvelous Interactive,0,0,0.19,0,0.19
16023,Uppers,Play Station 5,2016,Action,Marvelous Entertainment,0,0,0.01,0,0.01
1570,Yokai Watch 3,Nintendo 3DS,2016,Action,Level 5,0,0,1.27,0,1.27
3650,Yokai Sangokushi,Nintendo 3DS,2016,Action,Level 5,0,0,0.55,0,0.55
6138,Pro Evolution Soccer 2017,Play Station 4,2016,Sports,Konami Digital Entertainment,0.01,0.16,0.09,0.03,0.28
6207,UEFA Euro 2016,Play Station 4,2016,Sports,Konami Digital Entertainment,0,0.21,0.03,0.03,0.28
8223,Jikkyou Powerful Pro Baseball 2016,Play Station 5,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17
8402,Jikkyou Powerful Pro Baseball 2016,Play Station 4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17
10042,UEFA Euro 2016,Play Station 3,2016,Sports,Konami Digital Entertainment,0,0.08,0.02,0.01,0.11
10158,Jikkyou Powerful Pro Baseball 2016,Play Station 3,2016,Sports,Konami Digital Entertainment,0,0,0.11,0,0.11
12414,Pro Evolution Soccer 2017,Play Station 3,2016,Sports,Konami Digital Entertainment,0,0.01,0.04,0,0.06
14741,Pro Evolution Soccer 2017,Xbox One,2016,Sports,Konami Digital Entertainment,0,0.02,0,0,0.03
15729,Revolution: 25th Anniversary Collection,PC,2016,Adventure,Koch Media,0,0.02,0,0,0.02
16432,Goat Simulator,Xbox One,2016,Simulation,Koch Media,0,0.01,0,0,0.01
16477,Total War Attila: Tyrants & Kings,PC,2016,Strategy,Koch Media,0,0.01,0,0,0.01
7850,Kan Colle Kai,Play Station 5,2016,Action,Kadokawa Games,0,0,0.19,0,0.19
14695,Darius Burst: Chronicle Saviours,Play Station 5,2016,Action,Kadokawa Games,0,0,0.03,0,0.03
15085,Prison Architect,Play Station 4,2016,Action,Introversion Software,0.01,0.01,0,0,0.02
16475,Azure Striker Gunvolt: Striker Pack,Nintendo 3DS,2016,Action,Inti Creates,0,0,0.01,0,0.01
12390,Song of the Deep,Play Station 4,2016,Action,Insomniac Games,0.05,0,0,0.01,0.06
13873,Song of the Deep,Xbox One,2016,Action,Insomniac Games,0.03,0,0,0,0.04
15661,Song of the Deep,PC,2016,Action,Insomniac Games,0.02,0,0,0,0.02
15187,Sengoku Otome: LeSega Genesisd Battle,Play Station 5,2016,Action,Idea Factory,0,0,0.02,0,0.02
14870,Diabolik Lovers: Lunatic Parade,Play Station 5,2016,Adventure,Idea Factory,0,0,0.03,0,0.03
15478,Black Rose Valkyrie,Play Station 4,2016,Role-Playing,Idea Factory,0,0,0.02,0,0.02
15511,Hakuoki: Shinkai - Hana no Shou,Play Station 5,2016,Adventure,Idea Factory,0,0,0.02,0,0.02
15719,Nil Admirari no Tenbin: Teito Sega Genesiswaku Toukidan,Play Station 5,2016,Adventure,Idea Factory,0,0,0.02,0,0.02
16031,Wand of Fortune R,Play Station 5,2016,Adventure,Idea Factory,0,0,0.01,0,0.01
16136,Collar x Malice,Play Station 5,2016,Action,Idea Factory,0,0,0.01,0,0.01
16322,Period Cube: Torikago no Amadeus,Play Station 5,2016,Action,Idea Factory,0,0,0.01,0,0.01
1158,No Man's Sky,Play Station 4,2016,Action,Hello Games,0.58,0.74,0.02,0.26,1.6
14007,12-Sai. Koisuru Diary,Nintendo 3DS,2016,Adventure,Happinet,0,0,0.04,0,0.04
7674,Puzzle & Dragons X: God Chapter / Dragon Chapter,Nintendo 3DS,2016,Action,GungHo,0,0,0.2,0,0.2
13082,Caligula,Play Station 5,2016,Role-Playing,FuRyu,0,0,0.05,0,0.05
13598,Card Fight!! Vanguard G: Stride to Victory!!,Nintendo 3DS,2016,Misc,FuRyu,0,0,0.04,0,0.04
13983,Doraemon: Shin Nobita no Nihon Tanjou,Nintendo 3DS,2016,Misc,FuRyu,0,0,0.04,0,0.04
14643,Ao no Kanata no Four Rhythm,Play Station 5,2016,Adventure,Fujishoji,0,0,0.03,0,0.03
13097,The Technomancer,Play Station 4,2016,Role-Playing,Focus Home Interactive,0.01,0.03,0,0.01,0.05
13172,Pro Cycling Manager 2016,Play Station 4,2016,Sports,Focus Home Interactive,0,0.04,0,0.01,0.05
14558,Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive,0,0.03,0,0,0.03
15344,The Technomancer,Xbox One,2016,Role-Playing,Focus Home Interactive,0.01,0.01,0,0,0.02
16402,The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,0,0.01,0,0,0.01
16227,New Interpretation Stranger of Sword City,Play Station 5,2016,Role-Playing,Experience Inc.,0,0,0.01,0,0.01
16263,Paragon,Play Station 4,2016,Action,Epic Games,0.01,0,0,0,0.01
222,FIFA 17,Play Station 4,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
1226,FIFA 17,Xbox One,2016,Sports,Electronic Arts,0.17,1.26,0,0.1,1.53
1630,Madden NFL 17,Play Station 4,2016,Sports,Electronic Arts,0.92,0.08,0,0.23,1.23
2344,EA Sports UFC 2,Play Station 4,2016,Sports,Electronic Arts,0.28,0.47,0,0.14,0.89
2507,Madden NFL 17,Xbox One,2016,Sports,Electronic Arts,0.72,0.02,0,0.09,0.82
4352,Plants vs. Zombies: Garden Warfare 2,Play Station 4,2016,Shooter,Electronic Arts,0.17,0.21,0,0.07,0.45
4432,Plants vs. Zombies: Garden Warfare 2,Xbox One,2016,Shooter,Electronic Arts,0.26,0.15,0,0.04,0.44
4822,EA Sports UFC 2,Xbox One,2016,Sports,Electronic Arts,0.23,0.14,0,0.04,0.4
5058,FIFA 17,Play Station 3,2016,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38
5663,Mirror's Edge Catalyst,Play Station 4,2016,Platform,Electronic Arts,0.1,0.14,0.02,0.06,0.32
7577,NHL 17,Play Station 4,2016,Sports,Electronic Arts,0.13,0.04,0,0.04,0.2
8192,FIFA 17,Xbox 360,2016,Sports,Electronic Arts,0.03,0.13,0,0.01,0.18
8753,NHL 17,Xbox One,2016,Sports,Electronic Arts,0.13,0.01,0,0.02,0.15
8862,Mirror's Edge Catalyst,Xbox One,2016,Platform,Electronic Arts,0.08,0.05,0,0.02,0.15
11566,Madden NFL 17,Xbox 360,2016,Sports,Electronic Arts,0.06,0.01,0,0.01,0.08
11706,Madden NFL 17,Play Station 3,2016,Sports,Electronic Arts,0.05,0.01,0,0.01,0.08
12940,FIFA 17,PC,2016,Sports,Electronic Arts,0,0.05,0,0,0.05
13102,Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.03,0,0.01,0.05
13438,Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts,0,0.04,0,0,0.05
14533,Need for Speed (2015),PC,2016,Racing,Electronic Arts,0,0.03,0,0,0.03
14236,NASCAR Heat Evolution,Play Station 4,2016,Racing,Dusenberry Martin Racing,0.03,0,0,0.01,0.03
15055,NASCAR Heat Evolution,Xbox One,2016,Racing,Dusenberry Martin Racing,0.02,0,0,0,0.02
15865,Taishou Moebius Line Vitable,Play Station 5,2016,Adventure,dramatic create,0,0,0.02,0,0.02
16592,Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,Play Station 5,2016,Action,dramatic create,0,0,0.01,0,0.01
5731,Homefront: The Revolution,Play Station 4,2016,Shooter,Deep Silver,0.05,0.19,0.03,0.04,0.31
8295,Shin Megami Tensei IV: Final,Nintendo 3DS,2016,Role-Playing,Deep Silver,0.03,0,0.14,0,0.17
9702,Homefront: The Revolution,Xbox One,2016,Shooter,Deep Silver,0.05,0.07,0,0.01,0.12
9995,Dead Island Definitive Collection,Play Station 4,2016,Action,Deep Silver,0.02,0.07,0.01,0.02,0.12
10854,The King of Fighters XIV,Play Station 4,2016,Fighting,Deep Silver,0.04,0.01,0.03,0.01,0.09
13437,Mighty No. 9,Play Station 4,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05
13492,Dead Island Definitive Collection,Xbox One,2016,Action,Deep Silver,0.02,0.02,0,0,0.04
15342,Homefront: The Revolution,PC,2016,Shooter,Deep Silver,0,0.02,0,0,0.02
15469,Mighty No. 9,Nintendo WiiU,2016,Platform,Deep Silver,0.01,0.01,0,0,0.02
15717,This War of Mine,Play Station 4,2016,Action,Deep Silver,0,0.01,0,0,0.02
16565,Mighty No. 9,Xbox One,2016,Platform,Deep Silver,0.01,0,0,0,0.01
13888,Bullet Girls 2,Play Station 5,2016,Action,D3Publisher,0,0,0.04,0,0.04
15284,Hyakka Hyakurou: Sengoku Ninpoujou,Play Station 5,2016,Adventure,D3Publisher,0,0,0.02,0,0.02
15947,Storm Lover 2nd V,Play Station 5,2016,Adventure,D3Publisher,0,0,0.02,0,0.02
